playerID,yearID_x,stint,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,IBB,HBP,SH,SF,GIDP,birthYear,birthMonth,birthDay,birthCountry,birthState,birthCity,deathYear,deathMonth,deathDay,deathCountry,deathState,deathCity,nameFirst,nameLast,nameGiven,weight,height,bats,throws,debut,finalGame,retroID,bbrefID,yearID_y,teamID,lgID,salary
abernbr01,2001,1,79,304,43,82,17,1,5,33.0,8.0,3.0,27,35.0,1.0,0.0,3.0,1.0,3.0,1977.0,9.0,23.0,USA,GA,Atlanta,,,,,,,Brent,Abernathy,Michael Brent,185.0,73.0,R,R,2001-06-25,2005-09-29,aberb001,abernbr01,2002,TBA,AL,215000
alicelu01,2001,1,113,387,44,106,16,4,4,32.0,8.0,6.0,23,56.0,0.0,4.0,3.0,1.0,6.0,1965.0,7.0,29.0,P.R.,,Santurce,,,,,,,Luis,Alicea,Luis Rene,165.0,69.0,B,R,1988-04-23,2002-09-25,alicl001,alicelu01,2002,KCA,AL,800000
anderbr01,2001,1,131,430,50,87,12,3,8,45.0,12.0,4.0,60,77.0,4.0,8.0,2.0,1.0,3.0,1964.0,1.0,18.0,USA,MD,Silver Spring,,,,,,,Brady,Anderson,Brady Kevin,170.0,73.0,L,L,1988-04-04,2002-05-20,andeb001,anderbr01,2002,CLE,AL,200000
anderma02,2001,1,147,522,69,153,30,2,11,61.0,8.0,5.0,35,74.0,5.0,2.0,10.0,5.0,12.0,1974.0,1.0,6.0,USA,AL,Montgomery,,,,,,,Marlon,Anderson,Marlon Ordell,190.0,70.0,L,R,1998-09-08,2009-04-10,andem003,anderma02,2002,PHI,NL,400000
barremi01,2001,1,132,472,42,118,33,2,6,38.0,2.0,1.0,25,54.0,2.0,2.0,4.0,3.0,14.0,1976.0,10.0,22.0,USA,GA,Atlanta,,,,,,,Michael,Barrett,Michael Patrick,185.0,75.0,R,R,1998-09-19,2009-04-17,barrm003,barremi01,2002,MON,NL,1150000
bergepe01,2001,1,102,375,53,79,11,4,3,16.0,10.0,7.0,28,87.0,2.0,5.0,8.0,0.0,5.0,1977.0,11.0,9.0,USA,MA,Greenfield,,,,,,,Peter,Bergeron,Peter Francis,185.0,74.0,L,R,1999-09-07,2004-04-18,bergp001,bergepe01,2002,MON,NL,250000
berkmla01,2001,1,156,577,110,191,55,5,34,126.0,7.0,9.0,92,121.0,5.0,13.0,0.0,6.0,8.0,1976.0,2.0,10.0,USA,TX,Waco,,,,,,,Lance,Berkman,William Lance,220.0,73.0,B,L,1999-07-16,2013-09-17,berkl001,berkmla01,2002,HOU,NL,500000
blumge01,2001,1,148,453,57,107,25,0,9,50.0,9.0,5.0,43,94.0,8.0,10.0,3.0,5.0,12.0,1973.0,4.0,26.0,USA,CA,Redwood City,,,,,,,Geoff,Blum,Geoffrey Edward,220.0,75.0,B,R,1999-08-09,2012-07-17,blumg001,blumge01,2002,HOU,NL,315000
branyru01,2001,1,113,315,48,73,16,2,20,54.0,1.0,1.0,38,132.0,1.0,3.0,0.0,5.0,2.0,1975.0,12.0,19.0,USA,GA,Warner Robins,,,,,,,Russell,Branyan,Russell Oles,235.0,76.0,L,R,1998-09-26,2011-09-26,branr001,branyru01,2002,CLE,AL,251000
coomero01,2001,1,111,349,25,91,19,1,8,53.0,0.0,0.0,29,70.0,1.0,2.0,0.0,6.0,23.0,1966.0,11.0,18.0,USA,IL,Crest Hill,,,,,,,Ron,Coomer,Ronald Bryan,195.0,71.0,R,R,1995-08-01,2003-09-28,coomr001,coomero01,2002,NYA,AL,750000
